key,tempsbyYear,emissions
Samoa,American Samoa,Samoa
Antigua And Barbuda,Antigua And Barbuda,Antigua and Barbuda
"Bonaire, Saint Eustatius And Saba","Bonaire, Saint Eustatius And Saba","Bonaire, Saint Eustatius and Saba"
Bosnia And Herzegovina,Bosnia And Herzegovina,Bosnia and Herzegovina
Democratic Republic of the Congo,"Congo (Democratic Republic Of The) ""Côte d'Ivoire""",Democratic Republic of the Congo
Denmark,Denmark (Europe),Denmark
Faroe Islands,Faroe Islands,Faeroe Islands
Federated States Of Micronesia,Federated States Of Micronesia,Micronesia (Federated States of)
France,France (Europe),France
Guinea Bissau,Guinea Bissau,Guinea-Bissau
Kuwait,Kuwait,Kuwaiti Oil Fires
Macau,Macau,Macao
Macedonia,Macedonia,North Macedonia
Netherlands,Netherlands (Europe),Netherlands
Panama,Panama,Panama Canal Zone
Reunion,Reunion,Réunion
Saint Kitts And Nevis,Saint Kitts And Nevis,Saint Kitts and Nevis
Saint Pierre And Miquelon,Saint Pierre And Miquelon,Saint Pierre and Miquelon
Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,Saint Vincent and the Grenadines
Sao Tome And Principe,Sao Tome And Principe,Sao Tome and Principe
Sint Maarten,Sint Maarten,Sint Maarten (Dutch part)
Sudan,Sudan,South Sudan
Timor Leste,Timor Leste,Timor-Leste
Trinidad And Tobago,Trinidad And Tobago,Trinidad and Tobago
Turks And Caicas Islands,Turks And Caicas Islands,Turks and Caicos Islands
United Kingdom,United Kingdom (Europe),United Kingdom
United States,United States,USA
Vietnam,Vietnam,Viet Nam
